id_film,film,Link,state,stop_date
1,Mang Mẹ Đi Bỏ,https://moveek.com/phim/mang-me-di-bo,now_showing,NA
2,Conan Movie 28: Dư Ảnh Của Độc Nhãn,https://moveek.com/phim/conan-movie-28,now_showing,NA
3,Toàn Trí Độc Giả,https://moveek.com/phim/toan-tri-doc-gia,now_showing,NA
4,Bộ Tứ Siêu Đẳng: Bước Đi Đầu Tiên,https://moveek.com/phim/the-fantastic-four-first-steps,now_showing,NA
5,Họng Súng Vô Hình,https://moveek.com/phim/the-naked-gun,now_showing,NA
6,Ma Lòng Thòng,https://moveek.com/phim/ma-long-thong,now_showing,NA
7,Phim Xì Trum,https://moveek.com/phim/phim-xi-trum,now_showing,NA
8,Quỷ Ăn Hồn,https://moveek.com/phim/quy-an-hon,now_showing,NA
9,Thám Tử Tư: Phía Sau Vết Máu,https://moveek.com/phim/tham-tu-tu-phia-sau-vet-mau,now_showing,NA
10,Kaiju No.8: Nhiệm Vụ Trinh Sát,https://moveek.com/phim/kaiju-no-8-mission-recon,now_showing,NA
11,Tiếng Ồn Quỷ Dị,https://moveek.com/phim/tieng-on-quy-di,now_showing,NA
12,Mùa Hè Kinh Hãi,https://moveek.com/phim/mua-he-kinh-hai,now_showing,NA
13,Con Nít Quỷ,https://moveek.com/phim/con-nit-quy,now_showing,NA
14,Ma Xưởng Mía,https://moveek.com/phim/ma-xuong-mia,now_showing,NA
15,Superman (2025),https://moveek.com/phim/superman,now_showing,NA
16,Wolfoo Và Cuộc Đua Tam Giới,https://moveek.com/phim/wolfoo-va-cuoc-dua-tam-gioi,now_showing,NA
17,Maracuda: Nhóc Quậy Rừng Xanh,https://moveek.com/phim/maracuda-nhoc-quay-rung-xanh,now_showing,NA
18,Một Nửa Hoàn Hảo,https://moveek.com/phim/materialists,now_showing,NA
19,Thế Giới Khủng Long: Tái Sinh,https://moveek.com/phim/jurassic-world-rebirth,now_showing,NA
20,F1,https://moveek.com/phim/f1,now_showing,NA
21,Bí Kíp Luyện Rồng live action,https://moveek.com/phim/how-to-train-your-dragon-movie,now_showing,NA
22,Lilo & Stitch live action,https://moveek.com/phim/lilo-stitch-live-action,now_showing,NA
23,Địa Đạo: Mặt Trời Trong Bóng Tối,https://moveek.com/phim/dia-dao-mat-troi-trong-bong-toi,now_showing,NA
24,Bộ Tứ Siêu Đẳng,https://moveek.com/phim/the-fantastic-four,now_showing,NA
25,Chuyện Mùa Hạ,https://moveek.com/phim/chuyen-mua-ha,now_showing,NA
26,Zombie Cưng Của Ba,https://moveek.com/phim/zombie-cung-cua-ba,coming_soon,NA
27,Ngày Thứ Sáu Siêu Kỳ Quái,https://moveek.com/phim/freakier-friday,coming_soon,NA
28,Giờ Thả Máu,https://moveek.com/phim/gio-tha-mau,coming_soon,NA
29,Jumbo Và Người Bạn Diệu Kì,https://moveek.com/phim/jumbo-va-nguoi-ban-dieu-ki,coming_soon,NA
30,Chốt Đơn,https://moveek.com/phim/chot-don,coming_soon,NA
31,Kẻ Vô Danh 2,https://moveek.com/phim/nobody-2,coming_soon,NA
32,Dính Lẹo,https://moveek.com/phim/dinh-leo,coming_soon,NA
33,Tôi Có Bệnh Mới Thích Cậu,https://moveek.com/phim/toi-co-benh-moi-thich-cau,coming_soon,NA
34,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,https://moveek.com/phim/thanh-guom-diet-quy-vo-han-thanh,coming_soon,NA
35,Mưa Đỏ,https://moveek.com/phim/mua-do,coming_soon,NA
36,Cô Dâu Ma,https://moveek.com/phim/co-dau-ma,coming_soon,NA
37,Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,https://moveek.com/phim/phim-shin-cau-be-but-chi-nong-bong-tay-nhung-vu-cong-kasukabe,coming_soon,NA
38,Băng Đảng Quái Kiệt 2,https://moveek.com/phim/the-bad-guys-2,coming_soon,NA
39,Làm Giàu Với Ma 2: Cuộc Chiến Hột Xoàn,https://moveek.com/phim/lam-giau-voi-ma-2-cuoc-chien-hot-xoan,coming_soon,NA
